manga_name,manga_slug,chapter_number,panel_count,expected_count,status,timestamp,error,cloudinary_folder
Dandadan,dandadan,144,19,19,success,2025-11-01T19:04:03.982013,,manga/dandadan/chapter-144
Dandadan,dandadan,145,19,19,success,2025-11-01T19:05:18.316555,,manga/dandadan/chapter-145
Dandadan,dandadan,146,19,19,success,2025-11-01T19:07:17.046314,,manga/dandadan/chapter-146
Dandadan,dandadan,147,19,19,success,2025-11-01T19:09:22.928153,,manga/dandadan/chapter-147
Dandadan,dandadan,148,19,19,success,2025-11-01T19:11:05.251177,,manga/dandadan/chapter-148
Dandadan,dandadan,149,19,19,success,2025-11-01T19:12:58.521111,,manga/dandadan/chapter-149
Dandadan,dandadan,150,19,19,success,2025-11-01T19:14:01.725625,,manga/dandadan/chapter-150
Dandadan,dandadan,151,20,20,success,2025-11-01T19:15:28.741643,,manga/dandadan/chapter-151
Dandadan,dandadan,152,20,20,success,2025-11-01T19:16:52.671018,,manga/dandadan/chapter-152
Dandadan,dandadan,153,19,19,success,2025-11-01T19:18:30.548639,,manga/dandadan/chapter-153
Dandadan,dandadan,154,19,19,success,2025-11-01T19:20:19.226577,,manga/dandadan/chapter-154
Dandadan,dandadan,155,20,20,success,2025-11-01T19:22:02.897164,,manga/dandadan/chapter-155
Dandadan,dandadan,156,22,22,success,2025-11-01T19:24:03.477003,,manga/dandadan/chapter-156
Dandadan,dandadan,157,21,21,success,2025-11-01T19:25:31.499755,,manga/dandadan/chapter-157
Dandadan,dandadan,158,20,20,success,2025-11-01T19:27:09.427851,,manga/dandadan/chapter-158
Dandadan,dandadan,159,25,25,success,2025-11-01T19:28:36.055264,,manga/dandadan/chapter-159
Dandadan,dandadan,160,20,20,success,2025-11-01T19:30:10.651144,,manga/dandadan/chapter-160
Dandadan,dandadan,161,19,19,success,2025-11-01T19:32:03.881670,,manga/dandadan/chapter-161
Dandadan,dandadan,162,21,21,success,2025-11-01T19:33:32.752473,,manga/dandadan/chapter-162
Dandadan,dandadan,163,23,23,success,2025-11-01T19:35:47.838574,,manga/dandadan/chapter-163
Dandadan,dandadan,164,20,20,success,2025-11-01T19:37:11.727376,,manga/dandadan/chapter-164
Dandadan,dandadan,165,22,22,success,2025-11-01T19:38:46.785634,,manga/dandadan/chapter-165
Dandadan,dandadan,166,19,19,success,2025-11-01T19:40:10.696995,,manga/dandadan/chapter-166
Dandadan,dandadan,167,19,19,success,2025-11-01T19:41:41.189460,,manga/dandadan/chapter-167
Dandadan,dandadan,168,19,19,success,2025-11-01T19:43:19.247016,,manga/dandadan/chapter-168
Dandadan,dandadan,169,19,19,success,2025-11-01T19:44:17.356609,,manga/dandadan/chapter-169
Dandadan,dandadan,170,20,20,success,2025-11-01T19:45:51.690871,,manga/dandadan/chapter-170
Dandadan,dandadan,171,19,19,success,2025-11-01T19:47:36.488597,,manga/dandadan/chapter-171
Dandadan,dandadan,172,19,19,success,2025-11-01T19:49:14.252176,,manga/dandadan/chapter-172
