filename,public_id,folder,url,cloudinary_url,format,width,height,size_kb,created_at,resource_type
panel-007_q3njdw,panel-007_q3njdw,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223332/panel-007_q3njdw.jpg,cloudinary://dk9ywbxu1/image/upload/panel-007_q3njdw,jpg,720,5449,293,2025-10-23T12:42:12Z,image
panel-005_skitzf,panel-005_skitzf,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223332/panel-005_skitzf.jpg,cloudinary://dk9ywbxu1/image/upload/panel-005_skitzf,jpg,720,6502,501,2025-10-23T12:42:12Z,image
panel-006_wpn9dr,panel-006_wpn9dr,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223331/panel-006_wpn9dr.jpg,cloudinary://dk9ywbxu1/image/upload/panel-006_wpn9dr,jpg,720,5734,303,2025-10-23T12:42:11Z,image
panel-009_q5swnt,panel-009_q5swnt,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223331/panel-009_q5swnt.jpg,cloudinary://dk9ywbxu1/image/upload/panel-009_q5swnt,jpg,720,6194,352,2025-10-23T12:42:11Z,image
panel-016_n5u2vi,panel-016_n5u2vi,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223320/panel-016_n5u2vi.jpg,cloudinary://dk9ywbxu1/image/upload/panel-016_n5u2vi,jpg,720,5544,356,2025-10-23T12:42:00Z,image
panel-004_hzdv6t,panel-004_hzdv6t,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223319/panel-004_hzdv6t.jpg,cloudinary://dk9ywbxu1/image/upload/panel-004_hzdv6t,jpg,720,5674,372,2025-10-23T12:41:59Z,image
panel-013_lniskn,panel-013_lniskn,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223317/panel-013_lniskn.jpg,cloudinary://dk9ywbxu1/image/upload/panel-013_lniskn,jpg,720,9000,905,2025-10-23T12:41:57Z,image
panel-014_h7llxe,panel-014_h7llxe,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223317/panel-014_h7llxe.jpg,cloudinary://dk9ywbxu1/image/upload/panel-014_h7llxe,jpg,720,5425,323,2025-10-23T12:41:57Z,image
panel-003_qvgwq4,panel-003_qvgwq4,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223316/panel-003_qvgwq4.jpg,cloudinary://dk9ywbxu1/image/upload/panel-003_qvgwq4,jpg,720,6835,556,2025-10-23T12:41:56Z,image
panel-015_dtnlmm,panel-015_dtnlmm,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223316/panel-015_dtnlmm.jpg,cloudinary://dk9ywbxu1/image/upload/panel-015_dtnlmm,jpg,720,5497,280,2025-10-23T12:41:56Z,image
panel-002_zag40h,panel-002_zag40h,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223314/panel-002_zag40h.jpg,cloudinary://dk9ywbxu1/image/upload/panel-002_zag40h,jpg,720,6000,212,2025-10-23T12:41:54Z,image
panel-001_zxl8yq,panel-001_zxl8yq,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223312/panel-001_zxl8yq.jpg,cloudinary://dk9ywbxu1/image/upload/panel-001_zxl8yq,jpg,600,700,73,2025-10-23T12:41:52Z,image
panel-018_uloiil,panel-018_uloiil,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223312/panel-018_uloiil.jpg,cloudinary://dk9ywbxu1/image/upload/panel-018_uloiil,jpg,1400,1050,120,2025-10-23T12:41:52Z,image
panel-017_irajgb,panel-017_irajgb,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223311/panel-017_irajgb.jpg,cloudinary://dk9ywbxu1/image/upload/panel-017_irajgb,jpg,720,5620,201,2025-10-23T12:41:51Z,image
panel-012_trvkid,panel-012_trvkid,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223304/panel-012_trvkid.jpg,cloudinary://dk9ywbxu1/image/upload/panel-012_trvkid,jpg,720,5516,255,2025-10-23T12:41:44Z,image
panel-008_d772k4,panel-008_d772k4,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223301/panel-008_d772k4.jpg,cloudinary://dk9ywbxu1/image/upload/panel-008_d772k4,jpg,720,5709,396,2025-10-23T12:41:41Z,image
panel-005_r8olks,panel-005_r8olks,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223301/panel-005_r8olks.jpg,cloudinary://dk9ywbxu1/image/upload/panel-005_r8olks,jpg,720,5610,287,2025-10-23T12:41:41Z,image
panel-009_mtwpex,panel-009_mtwpex,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223301/panel-009_mtwpex.jpg,cloudinary://dk9ywbxu1/image/upload/panel-009_mtwpex,jpg,720,5898,432,2025-10-23T12:41:41Z,image
panel-006_a81wiw,panel-006_a81wiw,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223300/panel-006_a81wiw.jpg,cloudinary://dk9ywbxu1/image/upload/panel-006_a81wiw,jpg,720,6503,413,2025-10-23T12:41:40Z,image
panel-011_yautof,panel-011_yautof,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223289/panel-011_yautof.jpg,cloudinary://dk9ywbxu1/image/upload/panel-011_yautof,jpg,720,6004,332,2025-10-23T12:41:29Z,image
panel-010_nooe4w,panel-010_nooe4w,root,https://res.cloudinary.com/dk9ywbxu1/image/upload/v1761223289/panel-010_nooe4w.jpg,cloudinary://dk9ywbxu1/image/upload/panel-010_nooe4w,jpg,720,5605,304,2025-10-23T12:41:29Z,image
