manga_name,chapter_number,chapter_name,panel_count,folder_path,scraped_at
One Piece,084,chapter-084,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-084,2025-10-27 21:45:06
One Piece,085,chapter-085,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-085,2025-10-27 21:45:06
One Piece,086,chapter-086,25,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-086,2025-10-27 21:45:06
One Piece,087,chapter-087,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-087,2025-10-27 21:45:06
One Piece,088,chapter-088,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-088,2025-10-27 21:45:06
One Piece,089,chapter-089,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-089,2025-10-27 21:45:06
One Piece,090,chapter-090,22,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-090,2025-10-27 21:45:06
One Piece,091,chapter-091,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-091,2025-10-27 21:45:06
One Piece,092,chapter-092,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-092,2025-10-27 21:45:06
One Piece,093,chapter-093,18,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-093,2025-10-27 21:45:06
One Piece,094,chapter-094,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-094,2025-10-27 21:45:06
One Piece,095,chapter-095,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-095,2025-10-27 21:45:06
One Piece,096,chapter-096,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-096,2025-10-27 21:45:06
One Piece,097,chapter-097,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-097,2025-10-27 21:45:06
One Piece,098,chapter-098,20,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-098,2025-10-27 21:45:06
One Piece,099,chapter-099,24,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-099,2025-10-27 21:45:06
One Piece,100,chapter-100,32,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-100,2025-10-27 21:45:06
One Piece,101,chapter-101,19,E:\UOM\My-CODE_RUSH\projects\HiManga\public\one-piece\chapter-101,2025-10-27 21:45:06
